,发卡行名称,长度,取值,卡种
0,中国银联支付标记,19,623529,借记卡
1,中国银联支付标记,16,625153,贷记卡
2,中国银联支付标记,16,6201361,预付费卡
3,中国银联支付标记,17,6201362,预付费卡
4,中国银联支付标记,18,6201363,预付费卡
5,中国银联支付标记,19,6201365,预付费卡
6,中国银联支付标记,19,6201366,预付费卡
7,中国银联支付标记,19,6201367,预付费卡
8,中国银联支付标记,19,6201368,预付费卡
9,中国银联支付标记,19,6201369,预付费卡
10,中国银联支付标记,16,6230740,借记卡
11,中国银联支付标记,16,6230741,借记卡
12,中国银联支付标记,17,6230742,借记卡
13,中国银联支付标记,18,6230743,借记卡
14,中国银联支付标记,19,6230745,借记卡
15,中国银联支付标记,19,6230746,借记卡
16,中国银联支付标记,19,6230747,借记卡
17,中国银联支付标记,19,6230748,借记卡
18,中国银联支付标记,19,6230749,借记卡
19,中国银联支付标记,16,6235241,借记卡
20,中国银联支付标记,17,6235242,借记卡
21,中国银联支付标记,18,6235243,借记卡
22,中国银联支付标记,19,6235244,借记卡
23,中国银联支付标记,19,6235245,借记卡
24,中国银联支付标记,19,6235246,借记卡
25,中国银联支付标记,19,6235248,借记卡
26,中国银联支付标记,16,6251640,贷记卡
27,中国银联支付标记,16,6251642,贷记卡
28,中国银联支付标记,16,6251643,贷记卡
29,中国银联支付标记,16,6251644,贷记卡
30,中国银联支付标记,16,6251645,贷记卡
31,中国银联支付标记,17,6251646,贷记卡
32,中国银联支付标记,18,6251647,贷记卡
33,中国银联支付标记,19,6251648,贷记卡
34,中国银联支付标记,19,6251649,贷记卡
35,中国银联支付标记,16,6258240,贷记卡
36,中国银联支付标记,16,6258241,贷记卡
37,中国银联支付标记,16,6258242,贷记卡
38,中国银联支付标记,16,6258243,贷记卡
39,中国银联支付标记,16,6258244,贷记卡
40,中国银联支付标记,16,6258245,贷记卡
41,中国银联支付标记,17,6258246,贷记卡
42,中国银联支付标记,18,6258247,贷记卡
43,中国银联支付标记,19,6258248,贷记卡
44,中国银联支付标记,19,6258249,贷记卡
45,中国银联支付标记,19,6230744,借记卡
46,中国银联支付标记,19,6235247,借记卡
47,中国银联支付标记,16,6251641,贷记卡
48,中国银联支付标记,19,6201360,预付费卡
49,中国银联支付标记,16,6201364,预付费卡
50,中国银联支付标记,19,6235240,借记卡
51,中国银联支付标记,16,6235249,借记卡
52,银联国际支付标记,16,62636000,贷记卡
53,银联国际支付标记,16,62636001,贷记卡
54,银联国际支付标记,16,62636002,贷记卡
55,银联国际支付标记,16,62636003,贷记卡
56,银联国际支付标记,16,62636004,贷记卡
57,银联国际支付标记,16,62636005,贷记卡
58,银联国际支付标记,16,62636006,贷记卡
59,银联国际支付标记,16,62636007,贷记卡
60,银联国际支付标记,16,62636008,贷记卡
61,银联国际支付标记,16,62636009,贷记卡
62,银联国际支付标记,16,62926000,借记卡
63,银联国际支付标记,16,62926001,借记卡
64,银联国际支付标记,16,62926002,借记卡
65,银联国际支付标记,16,62926003,借记卡
66,银联国际支付标记,16,62926004,借记卡
67,银联国际支付标记,16,62926005,借记卡
68,银联国际支付标记,16,62926006,借记卡
69,银联国际支付标记,16,62926007,借记卡
70,银联国际支付标记,16,62926008,借记卡
71,银联国际支付标记,16,62926009,借记卡
72,银联国际支付标记,17,62926010,借记卡
73,银联国际支付标记,17,62926011,借记卡
74,银联国际支付标记,17,62926012,借记卡
75,银联国际支付标记,17,62926013,借记卡
76,银联国际支付标记,17,62926014,借记卡
77,银联国际支付标记,17,62926015,借记卡
78,银联国际支付标记,17,62926016,借记卡
79,银联国际支付标记,17,62926017,借记卡
80,银联国际支付标记,17,62926018,借记卡
81,银联国际支付标记,17,62926019,借记卡
82,银联国际支付标记,18,62926020,借记卡
83,银联国际支付标记,18,62926021,借记卡
84,银联国际支付标记,18,62926022,借记卡
85,银联国际支付标记,18,62926023,借记卡
86,银联国际支付标记,18,62926024,借记卡
87,银联国际支付标记,18,62926025,借记卡
88,银联国际支付标记,18,62926026,借记卡
89,银联国际支付标记,18,62926027,借记卡
90,银联国际支付标记,18,62926028,借记卡
91,银联国际支付标记,18,62926029,借记卡
92,银联国际支付标记,19,62926030,借记卡
93,银联国际支付标记,19,62926031,借记卡
94,银联国际支付标记,19,62926032,借记卡
95,银联国际支付标记,19,62926033,借记卡
96,银联国际支付标记,19,62926034,借记卡
97,银联国际支付标记,19,62926035,借记卡
98,银联国际支付标记,19,62926036,借记卡
99,银联国际支付标记,19,62926037,借记卡
100,银联国际支付标记,19,62926038,借记卡
101,银联国际支付标记,19,62926039,借记卡
102,银联国际支付标记,16,62926900,预付费卡
103,银联国际支付标记,16,62926901,预付费卡
104,银联国际支付标记,16,62926902,预付费卡
105,银联国际支付标记,16,62926903,预付费卡
106,银联国际支付标记,16,62926904,预付费卡
107,银联国际支付标记,16,62926905,预付费卡
108,银联国际支付标记,17,62926906,预付费卡
109,银联国际支付标记,17,62926907,预付费卡
110,银联国际支付标记,17,62926908,预付费卡
111,银联国际支付标记,17,62926909,预付费卡
112,银联国际支付标记,17,62926910,预付费卡
113,银联国际支付标记,17,62926911,预付费卡
114,银联国际支付标记,18,62926912,预付费卡
115,银联国际支付标记,18,62926913,预付费卡
116,银联国际支付标记,18,62926914,预付费卡
117,银联国际支付标记,18,62926915,预付费卡
118,银联国际支付标记,18,62926916,预付费卡
119,银联国际支付标记,18,62926917,预付费卡
120,银联国际支付标记,19,62926918,预付费卡
121,银联国际支付标记,19,62926919,预付费卡
122,银联国际支付标记,19,62926920,预付费卡
123,银联国际支付标记,19,62926921,预付费卡
124,银联国际支付标记,19,62926922,预付费卡
125,银联国际支付标记,19,62926923,预付费卡
126,中国邮政储蓄银行,19,622150,借记卡
127,中国邮政储蓄银行,19,622151,借记卡
128,中国邮政储蓄银行,19,622181,借记卡
129,中国邮政储蓄银行,19,622188,借记卡
130,中国邮政储蓄银行,19,955100,借记卡
131,中国邮政储蓄银行,19,621095,借记卡
132,中国邮政储蓄银行,19,620062,借记卡
133,中国邮政储蓄银行,19,621285,借记卡
134,中国邮政储蓄银行,19,621798,借记卡
135,中国邮政储蓄银行,19,621799,借记卡
136,中国邮政储蓄银行,19,621797,借记卡
137,中国邮政储蓄银行,19,622199,借记卡
138,中国邮政储蓄银行,19,621096,借记卡
139,中国邮政储蓄银行河南分行,19,62215049,借记卡
140,中国邮政储蓄银行河南分行,19,62215050,借记卡
141,中国邮政储蓄银行河南分行,19,62215051,借记卡
142,中国邮政储蓄银行河南分行,19,62218849,借记卡
143,中国邮政储蓄银行河南分行,19,62218850,借记卡
144,中国邮政储蓄银行河南分行,19,62218851,借记卡
145,中国邮政储蓄银行,19,621622,借记卡
146,中国邮政储蓄银行,19,623219,借记卡
147,中国邮政储蓄银行,19,621674,借记卡
148,中国邮政储蓄银行,19,623218,借记卡
149,中国邮政储蓄银行,19,621599,借记卡
150,中国邮政储蓄银行,19,623698,借记卡
151,中国邮政储蓄银行,19,623699,借记卡
152,中国邮政储蓄银行,19,623686,借记卡
153,中国邮政储蓄银行,19,621098,借记卡
154,中国邮政储蓄银行,19,620529,借记卡
155,中国邮政储蓄银行,19,622180,借记卡
156,中国邮政储蓄银行,19,622182,借记卡
157,中国邮政储蓄银行,19,622187,借记卡
158,中国邮政储蓄银行,19,622189,借记卡
159,中国邮政储蓄银行,19,621582,借记卡
160,中国邮政储蓄银行,19,623676,借记卡
161,中国邮政储蓄银行,19,623677,借记卡
162,中国工商银行,16,427062,贷记卡
163,中国工商银行,16,427064,贷记卡
164,中国工商银行,18,620200,借记卡
165,中国工商银行,18,620302,借记卡
166,中国工商银行,18,620402,借记卡
167,中国工商银行,18,620403,借记卡
168,中国工商银行,18,620404,借记卡
169,中国工商银行,18,620406,借记卡
170,中国工商银行,18,620407,借记卡
171,中国工商银行,18,620409,借记卡
172,中国工商银行,18,620410,借记卡
173,中国工商银行,18,620411,借记卡
174,中国工商银行,18,620412,借记卡
175,中国工商银行,18,620502,借记卡
176,中国工商银行,18,620503,借记卡
177,中国工商银行,18,620405,借记卡
178,中国工商银行,18,620408,借记卡
179,中国工商银行,18,620512,借记卡
180,中国工商银行,18,620602,借记卡
181,中国工商银行,18,620604,借记卡
182,中国工商银行,18,620607,借记卡
183,中国工商银行,18,620611,借记卡
184,中国工商银行,18,620612,借记卡
185,中国工商银行,18,620704,借记卡
186,中国工商银行,18,620706,借记卡
187,中国工商银行,18,620707,借记卡
188,中国工商银行,18,620708,借记卡
189,中国工商银行,18,620709,借记卡
190,中国工商银行,18,620710,借记卡
191,中国工商银行,18,620609,借记卡
192,中国工商银行,18,620712,借记卡
193,中国工商银行,18,620713,借记卡
194,中国工商银行,18,620714,借记卡
195,中国工商银行,18,620802,借记卡
196,中国工商银行,18,620711,借记卡
197,中国工商银行,18,620904,借记卡
198,中国工商银行,18,620905,借记卡
199,中国工商银行,18,621001,借记卡
200,中国工商银行,18,620902,借记卡
201,中国工商银行,18,621103,借记卡
202,中国工商银行,18,621105,借记卡
203,中国工商银行,18,621106,借记卡
204,中国工商银行,18,621107,借记卡
205,中国工商银行,18,621102,借记卡
206,中国工商银行,18,621203,借记卡
207,中国工商银行,18,621204,借记卡
208,中国工商银行,18,621205,借记卡
209,中国工商银行,18,621206,借记卡
210,中国工商银行,18,621207,借记卡
211,中国工商银行,18,621208,借记卡
212,中国工商银行,18,621209,借记卡
213,中国工商银行,18,621210,借记卡
214,中国工商银行,18,621302,借记卡
215,中国工商银行,18,621303,借记卡
216,中国工商银行,18,621202,借记卡
217,中国工商银行,18,621305,借记卡
218,中国工商银行,18,621306,借记卡
219,中国工商银行,18,621307,借记卡
220,中国工商银行,18,621309,借记卡
221,中国工商银行,18,621311,借记卡
222,中国工商银行,18,621313,借记卡
223,中国工商银行,18,621211,借记卡
224,中国工商银行,18,621315,借记卡
225,中国工商银行,18,621304,借记卡
226,中国工商银行,18,621402,借记卡
227,中国工商银行,18,621404,借记卡
228,中国工商银行,18,621405,借记卡
229,中国工商银行,18,621406,借记卡
